epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,527.814,1.25698,0.78937,0.99606,0.60807,0.000330709,0.000330709,0.000330709
2,977.96,0.78026,0.83268,0.99409,0.50199,0.000631172,0.000631172,0.000631172
3,1417.52,0.66675,0.81299,0.99213,0.51376,0.000898635,0.000898635,0.000898635
4,1855,0.65217,0.84843,0.99803,0.43372,0.0008515,0.0008515,0.0008515
5,2287.83,0.56581,0.82087,0.99803,0.51972,0.000802,0.000802,0.000802
6,2723.3,0.50865,0.84843,0.99803,0.45316,0.0007525,0.0007525,0.0007525
7,3153.26,0.4665,0.85827,0.99409,0.39354,0.000703,0.000703,0.000703
8,3585.81,0.40921,0.89173,0.99803,0.33375,0.0006535,0.0006535,0.0006535
9,4023.07,0.38612,0.90157,0.99803,0.28724,0.000604,0.000604,0.000604
10,4448.17,0.32891,0.88386,1,0.34859,0.0005545,0.0005545,0.0005545
11,4863.1,0.27721,0.91339,1,0.23911,0.000505,0.000505,0.000505
12,5293.74,0.24736,0.90551,1,0.2552,0.0004555,0.0004555,0.0004555
13,5703.69,0.21868,0.89173,1,0.29577,0.000406,0.000406,0.000406
14,6123.14,0.2168,0.92126,1,0.23525,0.0003565,0.0003565,0.0003565
15,6559.65,0.197,0.92323,1,0.22173,0.000307,0.000307,0.000307
16,6985.7,0.1672,0.93307,1,0.22014,0.0002575,0.0002575,0.0002575
17,7407.91,0.1161,0.93504,1,0.22821,0.000208,0.000208,0.000208
18,7841.3,0.13647,0.94094,1,0.20459,0.0001585,0.0001585,0.0001585
19,8278.9,0.13275,0.94882,1,0.19212,0.000109,0.000109,0.000109
20,8724.47,0.09287,0.95472,1,0.19439,5.95e-05,5.95e-05,5.95e-05
